IME ORGANIZACIJE / PRODUCENTA,IME V BAZI CULTURE.SI,CULTURE.SI POVEZAVA NA ČLANEK,DAVČNA ŠT.,STATUS organizacije (javna/zasebna),SEDEŽ ORGANIZACIJE,ZNESEK PODPORE EU (v EUR),Podpora EU za (tujega) vodjo projekta (v EUR),Država vodje projekta,Opombe,IME PROJEKTA,NAZIV RAZPISA (šifrant 1),PODROČJE PROJEKTA (šifrant 2),STATUS organizacije/producenta V PROJEKTU (Vodja / Partner),LETO razpisa (ko se pridobi podpora EU),Ime programa EU,Uradna oznaka oz. naziv razpisa,Opomba (podnaslov oz. kratek opis razpisa),Ime programa EU (F),Področje projekta (F),Šifra 2 (F)
Center za uravnotežen razvoj Vitra,x,,49668226,zasebna,Cerknica,,,,,"CAMSIAD – Costumes and Masks Stimulating
Innovative Art and Design",11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Društvo ŠKUC,ŠKUC_Association,http://www.culture.si/en/%C5%A0KUC_Association,97827665,zasebna,Ljubljana,,,,,Europe United,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Društvo ŠKUC ,ŠKUC_Association,http://www.culture.si/en/%C5%A0KUC_Association,97827665,zasebna,Ljubljana,,,,,Re_public:art,15,3,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Gornjesavski muzej Jesenice,"Upper Sava Valley Museum, Jesenice","http://www.culture.si/en/Upper_Sava_Valley_Museum,_Jesenice",,javna,Jesenice,,,,,Beautiful Wasteland,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,,,,Social Noises,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,"€ 149.994,00",CZ,,txOom,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,,,,Virtual Centre Media Net,15,3,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
"Mestna občina Ljubljana, Oddelek za gospodarske dejavnosti in turizem",Municipality of Ljubljana,http://www.culture.si/en/Municipality_of_Ljubljana,,javna,Ljubljana,,"€ 130.714,00",BE,,Art.Ce.Mo,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Moderna galerija,"Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova","http://www.culture.si/en/Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova",77185161,javna,Ljubljana,,,,,Mobile Art Radio,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Moderna galerija,"Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova","http://www.culture.si/en/Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova",77185161,javna,Ljubljana,,,,,"Gravity – Arts, Religion, Science",15,3,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Moderna galerija,"Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova","http://www.culture.si/en/Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova",77185161,javna,Ljubljana,,,,,The New European Contemporary Art Network,15,3,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Občina Tolmin,Municipality of Tolmin,http://www.culture.si/en/Tolmin_Municipality,,javna,Tolmin,,"€ 567.304,00",ES,,Genius Loci Network at Modern Visual Arts,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Zavod Maska,Maska Institute,http://www.culture.si/en/Maska_Institute,72537604,zasebna,Ljubljana,,,,,Zero Visibility,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Zavod Projekt Atol,Projekt_Atol_Institute,http://www.culture.si/en/Projekt_Atol_Institute,20971770,zasebna,Ljubljana,,,,,MIR – Microgravity Interdisciplinary Research,11,3,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Društvo slovenskih pisateljev,Slovene_Writers'_Association,http://www.culture.si/en/Slovene_Writers%E2%80%99_Association,,zasebna,Ljubljana,,"€ 193.080,00",NL,,Poetry International Web,15,40,P,2002,Kultura 2000 (2000-2006),Akcija 2,AKCIJA 2 – Večletni projekti s sporazumom o sodelovanju (od 24 do 36 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
NUK,National_and_University_Library,http://www.culture.si/en/National_and_University_Library,79713513,javna,Ljubljana,,,,,Wall and Paper: Schönbrunn,14,1,P,2002,Kultura 2000 (2000-2006),Akcija 3,AKCIJA 3 – Evropski laboratoriji kulturne dediščine,Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
"Univerza v Ljubljani, Filozofska fakulteta, Odd. za germanistiko, skandinavistiko in nederlandistiko","Department of German, Dutch and Swedish, University of Ljubljana","http://www.culture.si/en/Department_of_German,_Dutch_and_Swedish,_University_of_Ljubljana",,javna,Ljubljana,,"€ 104.039,00",SI,,European Literature Heritage in Context,11,1,P,2002,Kultura 2000 (2000-2006),Akcija 1,AKCIJA 1 – Enoletni projekti sodelovanja (do 12 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
