BLC_ID;BLC_NAME;NADSKUPINA_ID;NADSKUPINA_NAME;SPU_ID;SPU_NAME;PU_ID;PU_NAME;POL_ID;POL_NAME;PRG_ID;PRG_NAME;POD_ID;POD_NAME;SP2013
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;11;PREDSEDNIK REPUBLIKE SLOVENIJE;1111;Predsednik Republike Slovenije;01;POLITIÈNI SISTEM;0101;Politièni sistem;010101;Dejavnost predsednika Republike Slovenije;2411189,36
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;11;PREDSEDNIK REPUBLIKE SLOVENIJE;1111;Predsednik Republike Slovenije;01;POLITIÈNI SISTEM;0101;Politièni sistem;010102;Dejavnost bivšega predsednika Republike Slovenije;41750
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;121;DRŽAVNI ZBOR;1211;Državni zbor;01;POLITIÈNI SISTEM;0101;Politièni sistem;010103;Dejavnost državnega zbora;23675433
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;122;DRŽAVNI SVET;1212;Državni svet;01;POLITIÈNI SISTEM;0101;Politièni sistem;010104;Dejavnost državnega sveta;2074028
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;123;DRŽAVNA VOLILNA KOMISIJA;1213;Državna volilna komisija;01;POLITIÈNI SISTEM;0101;Politièni sistem;010105;Izvedba in nadzor volitev in referendumov;2483323
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;124;VARUH ÈLOVEKOVIH PRAVIC;1214;Varuh èlovekovih pravic;01;POLITIÈNI SISTEM;0102;Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic;010203;Odprava in prepreèevanje kršitev èlovekovih pravic;1893500
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;124;VARUH ÈLOVEKOVIH PRAVIC;1214;Varuh èlovekovih pravic;01;POLITIÈNI SISTEM;0102;Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic;010206;Izvajanje opcijskega sporazuma;123277
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;125;INFORMACIJSKI POOBLAŠÈENEC;1215;Informacijski pooblašèenec;01;POLITIÈNI SISTEM;0102;Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic;010205;Dostop do informacij javnega znaèaja;1346119,58
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;127;NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU;1217;Nacionalna agencija RS za kakovost v visokem šolstvu;19;IZOBRAŽEVANJE IN ŠPORT;1905;Višje in visokošolsko izobraževanje;190503;Spodbujanje kakovosti v visokem šolstvu;3039508
A;Bilanca odhodkov;1;NEVLADNI PRORAÈUNSKI UPORABNIKI;131;USTAVNO SODIŠÈE;1311;Ustavno sodišèe;01;POLITIÈNI SISTEM;0102;Varstvo ustavnosti, nadzor pravne države in èlovekovih pravic;010202;Dejavnost ustavnega sodišèa;3968040
